year,month,day,long,festivity,Eje_y
2022,1,3,0,Santa Genoveva,0
2022,2,6,0,Conmemoracion de la Constitucion,0
2022,3,20,0,Natalicio de Benito Juarez,0
2022,4,14,1,Periodo vacacional,3431
2022,4,15,1,Periodo vacacional,3431
2022,4,18,1,Periodo vacacional,3431
2022,4,19,1,Periodo vacacional,3431
2022,4,20,1,Periodo vacacional,3431
2022,4,21,1,Periodo vacacional,3431
2022,4,22,1,Periodo vacacional,3431
2022,5,9,0,Dia del Trabajo,0
2022,7,25,1,Periodo vacacional,4068
2022,7,26,1,Periodo vacacional,4068
2022,7,27,1,Periodo vacacional,4068
2022,7,28,1,Periodo vacacional,4068
2022,7,29,1,Periodo vacacional,4068
2022,9,16,0,Independencia de Mexico,0
2022,10,1,1,Preparacion para fin de ano,5014
2022,11,20,0,Revolucion Mexicana,0
2022,12,21,1,Periodo vacacional,3512
2022,12,22,1,Periodo vacacional,3512
2022,12,23,1,Periodo vacacional,3512
2022,12,26,1,Periodo vacacional,3512
2022,12,27,1,Periodo vacacional,3512
2022,12,28,1,Periodo vacacional,3512
2022,12,29,1,Periodo vacacional,3512
2022,12,30,1,Periodo vacacional,3512